fecha,precio_actual,real,pred_ensemble,pred_std,pred_nlin,pred_dlin,baseline_naive,err_ensemble,err_nlin,err_dlin,err_naive
2025-05-21,265.64,261.04,267.19646929383276,9.025595369338987,269.56753474235535,257.4248846912384,265.64,-6.1564692938327426,-8.527534742355328,3.615115308761631,-4.599999999999966
2025-05-22,267.49,260.67,268.793567956239,9.070320492982887,268.8851900348067,259.14556326866153,267.49,-8.123567956238958,-8.21519003480671,1.5244367313384828,-6.819999999999993
2025-05-23,267.56,260.71,269.063623547554,8.994496461153005,269.86134075820445,260.8314606785774,267.56,-8.353623547554037,-9.15134075820447,-0.12146067857742082,-6.850000000000023
2025-05-27,264.88,265.29,265.9129051865637,9.117928572893163,266.41426171943544,258.73959389925005,264.88,-0.6229051865636848,-1.1242617194354239,6.550406100749967,0.410000000000025
2025-05-28,265.68,263.49,266.5150348439813,8.798719135522845,262.5227204293013,259.781212849617,265.68,-3.0250348439813024,0.9672795706987358,3.708787150382989,-2.1899999999999977
2025-05-29,261.04,264.37,262.3208394254744,9.01533556103709,263.2832662200928,256.9438017511368,261.04,2.049160574525615,1.086733779907206,7.426198248863216,3.329999999999984
2025-05-30,260.67,264.0,262.1635064713657,9.10483144879339,261.4493598112464,256.7944007301331,260.67,1.8364935286343211,2.5506401887536185,7.205599269866923,3.329999999999984
2025-06-02,260.71,264.66,262.2658624446392,9.16765808939931,261.1071018698811,257.4060560512542,260.71,2.394137555360828,3.5528981301189333,7.253943948745814,3.9500000000000455
2025-06-03,265.29,266.27,266.9177208268643,8.672808070182782,267.54651167571546,261.7806502771378,265.29,-0.6477208268643153,-1.2765116757154829,4.489349722862187,0.9799999999999613
2025-06-04,263.49,264.22,265.1014001333713,8.509208120107644,267.1765370094776,262.3548404073715,263.49,-0.8814001333713009,-2.956537009477586,1.8651595926285154,0.7300000000000182
2025-06-05,264.37,261.95,265.9188047589362,8.923270283937427,272.09979485034944,264.8759060001373,264.37,-3.9688047589361872,-10.149794850349451,-2.9259060001373314,-2.420000000000016
2025-06-06,264.0,265.73,265.33040064275264,9.031687526702854,263.13967484265567,265.68852829933167,264.0,0.39959935724738216,2.5903251573443526,0.04147170066835315,1.7300000000000182
2025-06-09,264.66,266.74,265.87115298017864,9.246059117317202,266.0801822060347,267.64471084594726,264.66,0.8688470198213736,0.6598177939653169,-0.9047108459472497,2.079999999999984
2025-06-10,266.27,268.6,268.152291739285,8.79814102292056,272.99871131837364,267.1267696380615,266.27,0.44770826071504644,-4.398711318373614,1.4732303619385334,2.330000000000041
2025-06-11,264.22,268.15,265.3509417583048,9.03491194128992,262.07852935135367,266.3005562591553,264.22,2.7990582416951497,6.0714706486463115,1.849443740844663,3.92999999999995
2025-06-12,261.95,268.24,263.2963476549089,9.087020678520162,262.9831038071215,263.2069249820709,261.95,4.943652345091095,5.256896192878514,5.033075017929093,6.2900000000000205
2025-06-13,265.73,264.95,267.24274857744575,9.193293664455439,265.73003338515764,265.3942484283448,265.73,-2.2927485774457637,-0.7800333851576511,-0.4442484283447925,-0.7800000000000296
2025-06-16,266.74,270.36,268.29402118980886,8.712620927095372,265.9467965471745,265.93109876155853,266.74,2.0659788101911545,4.413203452825542,4.428901238441483,3.6200000000000045
2025-06-17,268.6,269.52,269.8361497999728,8.54341734170913,273.64219077706343,266.5377472591401,268.6,-0.316149799972834,-4.122190777063452,2.9822527408599058,0.9199999999999591
2025-06-18,268.15,273.96,269.3323382084072,8.442211292982051,269.37021060585977,266.5748561477661,268.15,4.6276617915928,4.589789394140212,7.385143852233853,5.810000000000002
2025-06-20,268.24,275.0,270.10621108084916,8.966378551721618,269.1706588098407,267.3339318943024,268.24,4.893788919150836,5.829341190159312,7.6660681056976046,6.759999999999991
2025-06-23,264.95,278.27,266.26482287466524,8.777700009346006,266.2358905152976,265.98760393619534,264.95,12.00517712533474,12.034109484702356,12.28239606380464,13.319999999999993
2025-06-24,270.36,281.26,272.0031784717739,8.821692349910734,272.48538576424124,268.7330964756012,270.36,9.256821528226112,8.774614235758747,12.52690352439879,10.899999999999977
2025-06-25,269.52,284.06,271.50313731282944,8.522749816179271,271.96500300765035,268.100263633728,269.52,12.556862687170565,12.09499699234965,15.959736366272011,14.54000000000002
2025-06-26,273.96,288.75,275.57488328292965,8.779876383543012,276.30466433912517,270.0309844779968,273.96,13.175116717070352,12.445335660874832,18.71901552200319,14.79000000000002
2025-06-27,275.0,287.11,276.18399985954164,9.02363113880159,271.4669694241881,270.44585205078124,275.0,10.92600014045837,15.643030575811906,16.664147949218773,12.110000000000014
2025-06-30,278.27,289.91,280.3331057527661,9.348081623315863,281.15635965079065,273.4047159051895,278.27,9.576894247233952,8.753640349209377,16.50528409481052,11.640000000000043
2025-07-01,281.26,290.41,282.71105787739157,9.076829330921157,285.6654267919063,274.32185767173763,281.26,7.698942122608457,4.744573208093698,16.088142328262393,9.150000000000034
2025-07-02,284.06,292.0,285.6699820037186,8.62607392072681,284.1316988518834,277.429173541069,284.06,6.330017996281413,7.868301148116586,14.57082645893098,7.939999999999998
2025-07-03,288.75,296.0,289.57266305468977,8.830274448394789,294.0114628016949,278.48287569999695,288.75,6.4273369453102305,1.988537198305096,17.517124300003047,7.25
2025-07-07,287.11,291.97,288.6237312209606,9.819386231899273,282.9610912358761,278.99871506690977,287.11,3.3462687790394057,9.00890876412393,12.97128493309026,4.860000000000014
2025-07-08,289.91,282.78,291.2303923852742,9.189292516708406,289.49345676958563,279.08832034111026,289.91,-8.4503923852742,-6.713456769585662,3.6916796588897114,-7.130000000000052
2025-07-09,290.41,283.16,291.4222155803442,9.439544277191203,298.32513149619103,280.55627016067507,290.41,-8.262215580344161,-15.165131496191009,2.6037298393249557,-7.25
2025-07-10,292.0,288.19,293.7345262849331,9.39005817651747,290.85333922058345,281.5347876143456,292.0,-5.544526284933113,-2.6633392205834525,6.6552123856544085,-3.8100000000000023
2025-07-11,296.0,286.86,296.9071067433059,9.374300382137278,297.5849362683296,283.92300291776655,296.0,-10.047106743305903,-10.7249362683296,2.936997082233461,-9.139999999999986
2025-07-14,291.97,288.7,292.7051568061114,9.499426262378677,291.8754564031959,284.01498634099966,291.97,-4.005156806111415,-3.1754564031959376,4.685013659000333,-3.2700000000000387
2025-07-15,282.78,286.55,284.6264656618237,9.962067633867264,276.69196718215943,279.46711559057235,282.78,1.923534338176296,9.85803281784058,7.082884409427663,3.7700000000000387
2025-07-16,283.16,285.82,285.06132210101003,9.89143921595064,286.89214588826525,281.99037596076727,283.16,0.7586778989899585,-1.0721458882652541,3.8296240392327263,2.659999999999968
2025-07-17,288.19,289.9,290.30065548614596,9.757299658060106,294.4514873756096,286.19779186204073,288.19,-0.400655486145979,-4.551487375609611,3.7022081379592464,1.7099999999999795
2025-07-18,286.86,291.27,289.03038244489585,9.936607910916223,285.99664780788595,286.8361916606128,286.86,2.2396175551041324,5.273352192114032,4.433808339387156,4.409999999999968
2025-07-21,288.7,290.97,291.1271146337222,9.594065744727857,287.781599167916,287.83558388516303,288.7,-0.1571146337221876,3.188400832084028,3.134416114836995,2.2700000000000387
2025-07-22,286.55,291.43,288.75706147771325,9.962801790162928,283.2432643760368,288.8004980318248,286.55,2.6729385222867563,8.186735623963216,2.629501968175191,4.8799999999999955
2025-07-23,285.82,296.76,288.1043797567114,9.885665413103993,288.6500036732293,290.02416467830534,285.82,8.655620243288581,8.10999632677067,6.735835321694651,10.939999999999998
2025-07-24,289.9,296.55,292.1682830188144,9.690583275668303,301.0203497125953,292.58873147785664,289.9,4.381716981185605,-4.470349712595294,3.9612685221433708,6.650000000000034
2025-07-25,291.27,298.62,293.13179474174507,9.854650679975748,292.66844491396097,293.43336971789597,291.27,5.488205258254936,5.951555086039036,5.1866302821040335,7.350000000000023
2025-07-28,290.97,298.28,292.96340384908956,9.938268557973174,290.6680035271915,291.2954868231714,290.97,5.316596150910414,7.611996472808471,6.984513176828557,7.309999999999945
2025-07-29,291.43,297.04,293.75059905726465,9.463569655530137,296.136788243372,291.32837383002044,291.43,3.2894009427353694,0.9032117566280249,5.711626169979581,5.610000000000014
2025-07-30,296.76,299.63,298.90195868317034,9.82186036672448,298.93570375535637,293.25437496766443,296.76,0.7280413168296604,0.694296244643624,6.375625032335563,2.8700000000000045
