fecha,precio_actual,real,pred_transformer,pred_std,baseline_naive,err_transformer,err_naive
2025-01-06,241.17,240.85,242.58719431305303,1.2265506879519705,241.17,-1.7371943130530383,-0.3199999999999932
2025-01-07,239.32,243.17,240.443757555522,1.315617571212357,239.32,2.7262424444779754,3.8499999999999943
2025-01-08,239.71,243.13,241.0061695566308,1.334327669721091,239.71,2.123830443369201,3.4199999999999875
2025-01-10,240.0,239.87,240.824216528479,1.8223762683570328,240.0,-0.9542165284790087,-0.12999999999999545
2025-01-13,243.28,244.21,244.99851386936382,1.3636920456960695,243.28,-0.7885138693638112,0.9300000000000068
2025-01-14,240.85,247.47,242.0810132663976,1.2884064223989924,240.85,5.388986733602394,6.6200000000000045
2025-01-15,243.17,252.35,244.2969699470978,1.1528842554800178,243.17,8.053030052902187,9.180000000000007
2025-01-16,243.13,254.27,244.3216792631522,1.5186321962624731,243.13,9.948320736847819,11.140000000000015
2025-01-17,239.87,259.16,241.02766743940302,1.3982146708387972,239.87,18.132332560597007,19.29000000000002
2025-01-21,244.21,263.03,245.45196050618776,1.3684980972111305,244.21,17.578039493812213,18.819999999999965
2025-01-22,247.47,262.84,248.4430018069502,1.181818004390209,247.47,14.396998193049768,15.369999999999976
2025-01-23,252.35,265.95,253.8567371912114,1.4516659682616364,252.35,12.09326280878858,13.599999999999994
2025-01-24,254.27,264.84,255.31296295480797,1.243656932534634,254.27,9.527037045192003,10.569999999999965
2025-01-27,259.16,265.85,260.06829368478617,1.2769200033601464,259.16,5.781706315213853,6.689999999999998
2025-01-28,263.03,267.14,264.14119810457333,1.2978813198767511,263.03,2.998801895426652,4.110000000000014
2025-01-29,262.84,266.58,263.749934549313,1.6273127693496576,262.84,2.830065450686959,3.740000000000009
2025-01-30,265.95,268.23,267.0225071490369,1.6332074651867288,265.95,1.2074928509630922,2.2800000000000296
2025-01-31,264.84,267.3,265.8572029337938,1.279894810756673,264.84,1.4427970662061966,2.4600000000000364
2025-02-03,265.85,266.81,266.79598783371966,1.3882844419498497,265.85,0.014012166280338079,0.9599999999999795
2025-02-04,267.14,267.94,268.04573242263865,1.245648066122044,267.14,-0.10573242263865268,0.8000000000000114
2025-02-05,266.58,270.43,267.26641128647833,2.3945644827652472,266.58,3.1635887135216763,3.8500000000000227
